年別,首站抵達地,細分,12歲以下,13歲至19歲,20至29歲,30至39歲,40至49歲,50至59歲,60歲及以上,合計
2013,亞洲地區,日本 Japan,"166,547","114,948","378,437","597,575","418,801","360,735","308,964","2,346,007"
2013,亞洲地區,韓國 Korea,"29,706","30,487","119,028","145,267","89,337","60,537","44,166","518,528"
2013,亞洲地區,香港 Hong Kong,"100,010","61,381","280,934","549,102","470,379","372,128","204,798","2,038,732"
2013,亞洲地區,中國大陸 China,"128,418","64,462","217,116","599,334","776,525","770,920","515,552","3,072,327"
2013,亞洲地區,澳門 Macao,"21,394","14,451","65,094","120,008","120,055","107,805","65,894","514,701"
2013,亞洲地區,越南 Vietnam,"31,145","7,793","29,895","83,352","74,348","81,959","53,465","361,957"
2013,亞洲地區,泰國 Thailand,"21,648","20,356","106,414","135,260","96,313","77,036","50,589","507,616"
2013,亞洲地區,馬來西亞 Malaysia,"14,034","11,174","40,109","52,776","44,990","36,713","27,123","226,919"
2013,亞洲地區,新加坡 Singapore,"23,690","16,247","56,988","74,636","57,667","39,688","28,672","297,588"
2013,亞洲地區,菲律賓 Philippines,"6,669","4,790","27,498","35,407","24,458","18,875","11,664","129,361"
2013,亞洲地區,汶萊 Brunei,"148","38","217","408","418","541","641","2,411"
2013,亞洲地區,印尼 Indonesia,"10,476","6,390","31,407","47,538","31,982","23,543","15,042","166,378"
2013,亞洲地區,柬埔寨 Cambodia,"1,504","1,531","6,634","11,704","11,966","15,917","12,082","61,338"
2013,亞洲地區,緬甸 Myanmar,"1,087","563","1,486","3,876","5,578","6,287","4,987","23,864"
2013,亞洲地區,阿拉伯聯合大公國 UAE,"0","0","0","3","6","5","0","14"
2013,亞洲地區,土耳其 Turkey,"0","0","0","0","0","0","0","0"
2013,亞洲地區,亞洲其他 Others,"396","1,744","19,600","40,885","27,236","20,950","10,385","121,196"
2013,亞洲地區,亞洲合計 Total,"556,872","356,355","1,380,857","2,497,131","2,250,059","1,993,639","1,354,024","10,388,937"
2013,非洲地區,南非 S. Africa,"0","0","0","0","0","0","2","2"
2013,非洲地區,非洲其他 Others,"0","0","0","1","0","2","9","12"
2013,非洲地區,非洲合計 Total,"0","0","0","1","0","2","11","14"
2013,美洲地區,美國 USA,"19,066","19,093","52,391","79,292","67,167","70,184","74,181","381,374"
2013,美洲地區,加拿大 Canada,"3,119","5,338","8,186","7,944","9,899","15,733","14,867","65,086"
2013,美洲地區,美洲其他 Others,"1","1","27","27","39","29","11","135"
